title,company,location,remote,tags,job_types,url,description
Leiter Bauingenieurswesen (m/w/d) Konstruktiver Ingenieurbau,Impledio GmbH,Hamburg,False,Engineering,,https://www.arbeitnow.com/jobs/companies/impledio-gmbh/leiter-bauingenieurswesen-konstruktiver-ingenieurbau-hamburg-432662,"<p><strong>Für unseren Mandanten, ein Hersteller im Bereich Betonfertigteile, suchen wir:</strong><br>
<strong>einen Bauingenieur (m/w/d) für Hamburg der eine leitende Funktion übernehmen möchte.</strong></p>
<p><strong>Das Norddeutsche Familienunternehmen und steht für hochwertige Produkte und blickt auf eine lange Tradition.</strong></p>
<h2>Aufgaben</h2>
<p><strong>Ihre Mission:</strong></p>
<ul>
<li>Erstellen Produktionszeichnungen</li>
<li>fachliche Führung von 2 Mitarbeitern</li>
<li>Aufst"
Senior SEA Manager (m/w/d) Paid Search & Strategy | 100 % remote | Vollzeit oder Teilzeit,hurra.com,Stuttgart,True,"Remote, Online Marketing",,https://www.arbeitnow.com/jobs/companies/hurracom/senior-sea-manager-paid-search-strategy-100-remote-vollzeit-oder-teilzeit-stuttgart-9708,"<p><strong>Werde Teil unserer Tech-DNA!</strong></p>
<p>Du hast die letzten 5 Jahre mehr Zeit im Google Ads Editor als in Deinem Wohnzimmer verbracht? Du denkst in Skripten, liebst komplexe Accounts und hast keine Lust auf starre Agentur-Hierarchien? Dann lass uns reden.</p>
<p>Wir sind keine Standard-Agentur. Wir kombinieren Performance-Marketing mit eigener Technologieentwicklung. Bei uns verwaltest Du nicht nur Budgets, Du gestaltest die Zukunft des Search Marketings für internationale Top-Br"
Servicetechniker / POS-Techniker für Retail-Tech im Außendienst (m/w/d),Franke + Pahl GmbH,Hamburg,False,Engineering,,https://www.arbeitnow.com/jobs/companies/franke-pahl-gmbh/servicetechniker-pos-techniker-fur-retail-tech-im-aussendienst-hamburg-305109,"<p>Du willst nicht den ganzen Tag Tickets abarbeiten oder nur am Bildschirm sitzen? Du bist gerne unterwegs, packst praktisch mit an und findest es gut, wenn man am Ende des Tages sieht, was man geschafft hat?</p>
<p>Dann könnte diese Position ziemlich gut passen.</p>
<p>Unser Kunde entwickelt und installiert moderne technische Lösungen für den Einzelhandel – zum Beispiel digitale Screens, Selfie-Mirrors, elektronische Preisschilder, Display-Systeme und weitere Retail-Tech-Lösungen. Gesucht wird"
Lead Paid Search / SEA (m/w/d) | 100 % remote | Voll- oder Teilzeit,hurra.com,Stuttgart,True,"Remote, Management, Team Leader",,https://www.arbeitnow.com/jobs/companies/hurracom/lead-paid-search-sea-100-remote-voll-oder-teilzeit-stuttgart-121665,"<p><strong>Du willst Paid Search nicht nur betreuen, sondern wirklich weiterentwickeln?</strong></p>
<p>Paid Search steht an einem Wendepunkt. AI, Automatisierung, Performance Max, Feed-Qualität, First-Party-Data und neue Search-Erlebnisse verändern grundlegend, wie erfolgreiche Accounts gesteuert werden. Klassisches Kampagnenmanagement reicht dafür nicht mehr aus. Gefragt sind Menschen, die strategisch denken, Muster erkennen, Testing sauber aufsetzen und aus Komplexität klare Wachstumshebel ab"
Trainee Developer / Programmierer für KI-Agenten (m/w/d),DCF Verlag GmbH,Koblenz,False,"Internet and software, high school coursework","Full-time permanent, entry",https://www.arbeitnow.com/jobs/companies/dcf-verlag-gmbh/trainee-developer-programmierer-fur-ki-agenten-koblenz-398805,"<p>Wir sind die am schnellsten wachsende PR-Agentur Europas – und wir haben noch viel vor. Mit der Kraft von Künstlicher Intelligenz wollen wir unsere Prozesse transformieren und die Branche neu definieren. Dafür suchen wir dich: einen Developer / Programmierer, der mit Leidenschaft intelligente Agenten sowie smarte Automatisierungen baut und diese stetig weiterentwickelt. Hierbei handelt es sich um eine Trainee-Stelle: Dafür musst du zwar Interesse an Digitalisierung, KI etc haben, aber keine A"
"Softwareentwickler Backend – PHP 8, Laravel & PostgreSQL (m/w/d) – für moderne Webentwicklung mit Umsetzungsstärke",hairfree,Darmstadt,False,"Internet and software, high school coursework","Full-time permanent, experienced",https://www.arbeitnow.com/jobs/companies/hairfree/softwareentwickler-backend-php-8-laravel-postgresql-fur-moderne-webentwicklung-mit-umsetzungsstarke-darmstadt-32950,"<h3><span style=""color: #f38da3"">Über uns</span></h3><p>Die hairfree GmbH ist Marktführer für dauerhafte <span style=""font-size: 1.1em"">Haarentfernung<span style="""">¹</span></span> in der DACH-Region.</p><p>Mit mehr als 50 Standorten in Deutschland, Österreich und der Schweiz gehören wir zu den bekanntesten Anbietern im Bereich ästhetischer Dienstleistungen und stehen für Qualität, Sicherheit und nachhaltige Ergebnisse.<br />Wir befinden uns in einer umfassenden digitalen Transformation und entw"
PHP Backend Developer (m/w/d) – Laravel & PostgreSQL,hairfree,Darmstadt,False,"Internet and software, high school coursework","Full-time permanent, experienced",https://www.arbeitnow.com/jobs/companies/hairfree/php-backend-developer-laravel-postgresql-darmstadt-401468,"<h3><span style=""color: #f38da3"">Über uns</span></h3><p>Die hairfree GmbH ist Marktführer für dauerhafte <span style=""font-size: 1.1em"">Haarentfernung<span style="""">¹</span></span> in der DACH-Region.</p><p>Mit mehr als 50 Standorten in Deutschland, Österreich und der Schweiz gehören wir zu den bekanntesten Anbietern im Bereich ästhetischer Dienstleistungen und stehen für Qualität, Sicherheit und nachhaltige Ergebnisse.<br />Wir befinden uns in einer umfassenden digitalen Transformation und entw"
Software Engineer (m/w/d),PANGEA GmbH,Münster,False,Software Development,professional / experienced,https://www.arbeitnow.com/jobs/companies/pangea-gmbh/software-engineer-munster-481107,"<p>Bei <strong>PANGEA</strong> glauben wir, dass die Energiewende nicht nur auf Dächern und in Heizungskellern stattfindet – sondern auch in der Software, die Prozesse intelligent steuert.</p>
<p>Deshalb entwickeln wir mit <strong>PangOS</strong> unsere eigene Plattform, die Vertrieb, Projektmanagement, Kapazitätsplanung, Finanzen und operative Abläufe miteinander verbindet. Jeden Tag arbeiten unsere Teams mit den Tools, die wir selbst bauen. Jede Zeile Code hat dabei direkten Einfluss auf das W"
"Softwareexpert:in Defence System Architektur, Kommunikationslsg., hybrid, GR München",wabcon,Munich,False,Software Development,berufserfahren,https://www.arbeitnow.com/jobs/companies/wabcon/softwareexpertin-defence-system-architektur-kommunikationslsg-hybrid-gr-munchen-munich-93127,"<p>Unser Kunde ist ein dynamisch wachsendes Unternehmen im Hightech- und IT-Umfeld und verfolgt ambitionierte Ziele in einer zukunftsorientierten Branche. Mit innovativen Kommunikationslösungen und technologisch anspruchsvollen Produkten und Dienstleistungen für zivile sowie sicherheitsrelevante Anwendungen hat sich unser Kunde erfolgreich am Markt etabliert. Aufgrund des kontinuierlichen Wachstums wird das Team gezielt um engagierte und hochqualifizierte Fachkräfte erweitert.</p>
<p>Im Rahmen d"
Werkstudent:in (m/w/d) im Business Development & Key Accounting,Käsmayr GmbH,Walldorf,False,Business Development,Working student,https://www.arbeitnow.com/jobs/companies/kasmayr-gmbh/werkstudentin-im-business-development-key-accounting-walldorf-466178,"<p>Wir sind ein junges, dynamisches Startup mit Standorten in Berlin, München und Walldorf. Unser Team besteht aus Fachleuten aus verschiedensten Bereichen – von Content Marketing und eCommerce über Produktmanagement bis hin zu Logistik und Online Marketing.</p>
<p>Innerhalb weniger Jahre haben wir Heizung-Billiger de, einen Fachhandel für Haustechnik und Sanitär, zu einer wichtigen Plattform in der Branche gemacht. <strong>Moment!</strong> Bevor du die Seite schließt: Haustechnik ist viel spann"
